area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Cuba,Poultry Birds,20235204.99939944,-4876092.6703103185,-0.3174722969552952,-431.16021898475884
Turkey,Poultry Birds,1232086890.52276,-36243238.1834681,-0.030307672840483413,-432.4365977514292
Rwanda,Soyabeans,5650039.741216288,-5623561.163124922,-1.0,-433.0036066013041
Greece,Soyabeans,4812125.206775445,-4602028.8875131095,-1.0,-436.48656579354497
Chile,Soyabeans,8670067.740378767,-8590332.535698103,-1.0,-447.2573582544842
Spain,Poultry Birds,736501884.9344639,-21295102.807693124,-0.029774749540781853,-449.92866056225455
Turkey,Soyabeans,40546020.8181134,-37817539.62513769,-1.0,-451.2203928368611
South Africa,Soyabeans,27602926.945905,-26413240.21003699,-1.0,-451.7698424203729
Yemen,Soyabeans,14742469.246684115,-14742469.246684115,-1.0,-461.7536780925123
Sweden,Soyabean Oil,4831887.6639513215,-4811687.14145991,-1.0,-466.1848794612744
Belarus,Soyabeans,5110280.134668584,-4592025.00379504,-1.0,-475.31353793596634
Guatemala,Soyabeans,8754696.087129194,-8711946.505291145,-1.0,-505.59222003536064
Switzerland,Poultry Birds,81820496.31735633,-4589957.097653434,-0.059431892409763876,-533.3171319973906
Colombia,Soyabeans,27689796.58908253,-27406918.230268527,-1.0,-541.4564883238212
Cuba,Soyabean Cake,6621228.850076874,-6164045.504092094,-1.0,-545.045262482107
Cabo Verde,Poultry Birds,911976.7681977048,-344392.4236279214,-0.6067687153861923,-593.8486404945423
Slovenia,Soyabeans,1270378.7879099909,-1265967.1838611322,-1.0,-598.211925546264
Chile,Poultry Birds,294875663.3209564,-12891421.519503891,-0.04571681536935257,-671.1944047565041
Switzerland,Soyabeans,6505071.400204302,-6492892.92841674,-1.0,-754.4233990160079
Viet Nam,Soyabeans,75764780.41168858,-74553724.41319694,-1.0,-774.9577800413481
Eswatini,Poultry Birds,7549032.735635298,-935673.6157265743,-0.1414823539386878,-796.8455843329236
Malta,Wheat and products,452836.3716255524,-407862.1965086311,-1.0,-800.3653813491716
Gabon,Soyabean Cake,1905649.0282911328,-1899221.2122506197,-1.0,-837.4009696893598
United Kingdom,Soyabeans,58493277.40582663,-57907395.18760314,-1.0,-864.9197874798004
Slovenia,Poultry Birds,41740026.29603497,-1840580.5872825086,-0.04613048012541077,-869.7360178667326
Colombia,Poultry Birds,1063183815.8139127,-45342030.03184092,-0.0445472279338599,-895.7860985406121
Kenya,Poultry Birds,95213851.0552547,-46331854.87536968,-0.9478306635610614,-900.3432744449821
Dominican Republic,Soyabeans,10014101.491600469,-9999671.674208062,-1.0,-914.1013329413594
Guinea,Soyabeans,12760082.80125227,-12760082.80125227,-1.0,-978.414956681823
Denmark,Soyabean Cake,7434396.190463419,-5990753.556851349,-1.0,-1030.9727125784789
Barbados,Soyabean Cake,308123.3697099154,-297974.41160165094,-1.0,-1062.5739019482824
New Zealand,Poultry Birds,114723916.75983804,-5478284.2598104775,-0.05014648306246117,-1089.8813526978788
Spain,Soyabeans,55803599.074853,-53303492.244857356,-1.0,-1126.2105229355886
Nicaragua,Soyabeans,7734085.482744737,-7724085.482744737,-1.0,-1151.1810851214377
Ethiopia,Sesame seed,142472441.91815844,-142212441.91815844,-1.0,-1229.8033448257002
United Kingdom,Poultry Birds,1004083608.9796096,-84024695.30136156,-0.09132534237991807,-1255.0145170174544
Saudi Arabia,Soyabeans,46774813.646133736,-46311308.02651648,-1.0,-1278.259558867903
Uruguay,Cattle,6513586.101753115,-4389286.0142555665,-1.0,-1280.3206089178966
Viet Nam,Poultry Birds,849378770.6640754,-123295805.49683702,-0.16980952785256198,-1281.6132858323747
Afghanistan,Soyabeans,50812279.76104811,-50804521.762138985,-1.0,-1325.588007390878
Haiti,Soyabeans,15569851.793082548,-15569851.793082548,-1.0,-1385.8952962677624
Guatemala,Poultry Birds,252350010.3672212,-24526878.85862112,-0.10765754423709728,-1423.401661745418
Uruguay,Eggs,5164330.53931508,-5113440.029644244,-1.0,-1491.5507057768316
"China, Hong Kong SAR",Poultry Birds,32210849.538890537,-11257590.270088036,-0.5372715588380832,-1500.6304757027826
Egypt,Soyabeans,184100515.47279197,-182067700.20703292,-1.0,-1708.9345724818872
Ireland,Soyabeans,8438108.404548138,-8427136.637124162,-1.0,-1711.0680239777437
French Polynesia,Sesame seed,525231.7501187411,-525231.7501187411,-1.0,-1746.4529401238972
Kuwait,Soyabeans,7805193.606227688,-7804632.148730322,-1.0,-1746.6431536597697
Uruguay,Poultry Meat,6240531.662328637,-6171352.737598336,-1.0,-1800.135618683102
Nicaragua,Poultry Birds,73833930.05431424,-12798866.516051501,-0.20969694752636614,-1907.5155339991104
Ghana,Soyabeans,61952996.030906886,-61774424.64816709,-1.0,-1939.5882919227379
Malta,Poultry Birds,3061485.1767096054,-1091523.1208654854,-0.5540833223804265,-2141.9423676949054
Sweden,Soyabean Cake,22577585.122809097,-22355838.908358265,-1.0,-2165.96668909495
"China, mainland",Soyabeans,3222150700.4215016,-3131118625.3834815,-1.0,-2198.8223182938864
Jordan,Poultry Birds,281747706.826668,-23820598.280328333,-0.09235399262442656,-2202.1289374503235
Afghanistan,Poultry Birds,126297022.63469894,-92413368.32281506,-1.0,-2411.2431044004397
Cuba,Soyabeans,27421123.24904399,-27370515.95858331,-1.0,-2420.191422177706
Gabon,Poultry Birds,10556854.395582056,-5532041.863846588,-1.0,-2439.177275014534
Latvia,Soyabeans,4708536.809079466,-4707919.536695828,-1.0,-2468.4411311273375
Oman,Soyabeans,12747285.420515392,-12747285.420515392,-1.0,-2777.709229039059
Honduras,Poultry Birds,124616016.46308452,-30687224.201263234,-0.3267073222417711,-3055.951598396624
South Africa,Poultry Birds,1180753362.2477703,-198236433.2105447,-0.2017638855391508,-3390.619306126363
Kiribati,Poultry Birds,1489331.8977672046,-444114.0372258496,-0.4249009263923478,-3545.650804958242
Mongolia,Soyabeans,11961144.381164793,-11960481.94082612,-1.0,-3661.600312272363
Egypt,Poultry Birds,1645677218.7368054,-392361923.5474324,-0.31305923182573747,-3682.8105990971453
Lithuania,Soyabeans,11529088.167568456,-11525359.760569038,-1.0,-4064.0924435167103
Peru,Poultry Birds,828411354.6385232,-136879189.4144106,-0.19793611389001775,-4136.537535429529
Ghana,Poultry Birds,238889808.37304944,-134732792.1204769,-1.0,-4230.329098543712
Dominican Republic,Poultry Birds,215784322.9701148,-47118556.49685475,-0.27936052159300995,-4307.254948293966
"China, mainland",Poultry Birds,19761746092.35187,-6135098708.91383,-0.4502280374826817,-4308.361828496217
Gambia,Soyabeans,11372111.28200586,-11372111.28200586,-1.0,-4475.3608773407595
Honduras,Soyabeans,47185456.04251602,-47184456.04251602,-1.0,-4698.809280269356
Gabon,Soyabeans,11499839.94091793,-11494664.787551753,-1.0,-5068.20552406498
Sweden,Poultry Birds,165305066.47299245,-54419060.33048417,-0.49076580736929043,-5272.4423543599905
Lithuania,Poultry Birds,69275001.2096988,-15839688.04112567,-0.2964273455487383,-5585.418400199467
Uruguay,Milk - Excluding Butter,22072197.702832565,-19861620.51958268,-1.0,-5793.480305256697
Barbados,Soyabeans,1782970.3718928313,-1771445.9631467492,-1.0,-6316.959362496297
Denmark,Pigs,93181102.5472516,-61769936.43590616,-1.0,-10630.235131320824
Uruguay,Soyabean Oil,42951519.13631623,-42934553.63633022,-1.0,-12523.675530998049
Latvia,Poultry Birds,47878472.89544339,-26266997.919071157,-1.0,-13772.227318094148
Uruguay,Pigs,49493434.15537023,-49368159.90467163,-1.0,-14400.308465891883
Sweden,Soyabeans,153752456.77599525,-153733907.06103945,-1.0,-14894.655621898264
Malta,Soyabeans,8265829.831081873,-8265829.831081873,-1.0,-16220.390370945306
Togo,Soyabeans,165725330.55171046,-165723330.55171046,-1.0,-19865.57687312016
Denmark,Soyabeans,136871103.38392484,-136853143.63434097,-1.0,-23551.604214502942
Niger,Soyabeans,792427674.7496899,-792427674.7496899,-1.0,-33181.39020939012
Barbados,Poultry Birds,17759395.91036489,-10130660.771558031,-1.0,-36125.83942187461
Uruguay,Rabbits and hares,161072500.15758586,-160846655.4385305,-1.0,-46917.71900136556
New Caledonia,Soyabeans,14038943.344674198,-14038943.344674198,-1.0,-49152.694129851996
Uruguay,Soyabean Cake,174657235.12620384,-174595306.3287646,-1.0,-50928.09358675688
Denmark,Poultry Birds,527330105.2218957,-372387920.59023756,-1.0,-64085.724939111
Guyana,Soyabeans,50857808.016431786,-50857808.016431786,-1.0,-64227.217066576144
Dominica,Soyabeans,26327310.889865022,-26327310.889865022,-1.0,-366859.5798710359
Uruguay,Sorghum and products,2284075106.527234,-2283971398.8721466,-1.0,-666216.7019095476
Guyana,Poultry Birds,622152105.9319098,-594376265.9823754,-1.0,-750624.8291734656
Cabo Verde,Soyabeans,560825393.8565962,-560825393.8565962,-1.0,-967052.0454200679
Uruguay,Poultry Birds,12121572170.541082,-12095837791.762512,-1.0,-3528261.8532089535
Uruguay,Soyabeans,32841930902.94095,-32840603240.977425,-1.0,-9579348.669045541
